positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
高级嵌入式软件开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,后端开发,Java,"['汽车', '通信/网络设备', 'Java', 'C', '软件开发', '算法']",2020-09-04 09:41:10,上海,浦东新区,['金桥'],20k-30k,5-10年,全职,本科,五险一金、做五休二、氛围轻松
测试工程师中级,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",B轮,开发|测试|运维类,测试,测试工程师,['功能测试'],2020-09-04 09:41:10,上海,浦东新区,['金桥'],10k-14k,3-5年,全职,本科,发展前景良好、上班氛围轻松愉悦、五险一金
WMS产品经理 (MJ001309),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,产品|需求|项目类,产品经理,产品经理,"['产品设计', '需求分析', '后台']",2020-09-04 09:41:29,广州,番禺区,,18k-30k,3-5年,全职,本科,氛围轻松、扁平管理、大咖云集、行业前景好
测试工程师-广州（2021届）(MJ002051),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,测试,测试工程师,['测试'],2020-09-04 09:41:29,广州,番禺区,,13k-16k,应届毕业生,全职,本科,行业前景好 氛围轻松 大咖云集 年终补贴
PAAS运维开发工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,运维,运维开发工程师,"['K8s', 'Go', 'Java', 'Python']",2020-09-04 09:41:29,深圳,南山区,['西丽'],20k-35k,3-5年,全职,本科,技术大咖 扁平管理 氛围年轻 弹性上班
java架构师/资深开发,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",B轮,开发|测试|运维类,后端开发,Java,"['教育', '服务器端', '中间件', '分布式']",2020-09-04 09:41:29,北京,海淀区,"['中关村', '万泉河', '双榆树']",25k-40k,5-10年,全职,大专,发展有前途
数据开发工程师 (MJ001374),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,数据开发,ETL,"['电商', 'Hadoop', 'Spark', 'ETL']",2020-09-04 09:41:29,广州,番禺区,,10k-20k,1-3年,全职,本科,行业前景好 扁平管理 大咖云集 氛围轻松
高级Java工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,后端开发,Java,"['电商', 'Java', '分布式']",2020-09-04 09:41:29,广州,番禺区,,15k-30k,5-10年,全职,本科,技术大咖 扁平管理 氛围年轻 弹性上班
产品经理（财务方向）,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,产品|需求|项目类,产品经理,产品经理,['产品设计'],2020-09-04 09:41:29,广州,番禺区,,15k-30k,3-5年,全职,本科,大咖云集 弹性工时 年终补贴
高级测试工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,测试,测试工程师,"['自动化', '测试']",2020-09-04 09:41:29,南京,雨花台区,"['安德门', '铁心桥']",12k-20k,3-5年,全职,本科,行业前景好 氛围轻松 大咖云集 年终补贴
