name,company,company_size,field,workarea,background,education,low_salary,high_salary
品牌策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,3-5年,大专,10,15
资深文案策划,上海盖杰实业有限公司,15-50人,"移动互联网,电商",上海,3-5年,大专,8,16
中级测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,3-5年,本科,10,14
高级通用测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,18,28
后端开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,20,28
高级测试,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,18,28
高级测试工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,3-5年,硕士,18,28
devops开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,25,40
后端开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,20,30
中级测试工程师（安全领域）,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,3-5年,本科,10,16
测试中级,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,3-5年,本科,10,14
高级嵌入式软件开发工程师,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,5-10年,本科,20,30
测试工程师中级,上海沃点网络科技有限公司,150-500人,"数据服务,软件开发",上海,3-5年,本科,10,14
WMS产品经理 (MJ001309),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,3-5年,本科,18,30
测试工程师-广州（2021届）(MJ002051),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,应届毕业生,本科,13,16
PAAS运维开发工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",深圳,3-5年,本科,20,35
java架构师/资深开发,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",北京,5-10年,大专,25,40
数据开发工程师 (MJ001374),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,1-3年,本科,10,20
高级Java工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,5-10年,本科,15,30
产品经理（财务方向）,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,3-5年,本科,15,30
高级测试工程师,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",南京,3-5年,本科,12,20
高级产品经理（仓储/物流方向）,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,5-10年,不限,20,35
大数据开发,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",北京,3-5年,本科,18,30
PHP工程师 (MJ000776),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",广州,1-3年,本科,10,18
高级交互设计师,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",北京,3-5年,本科,15,25
项目经理PMO,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",北京,5-10年,本科,18,30
